order_id,customer_name,brand,sales_rep,product,order_amount,customer_location,source_system,ingested_at
317d2cca83cf4573049c7f1c28f699f0,CEYLON ELECTRICITY BOARD,火绒,王红波,Windows版（20）,3840.00,海外,MIXED,2025-10-02T03:14:20Z
297175fe819e62fa637131a18c398422,FF-SH,奇安信,张菁菁,奇安信天擎终端安全管理系统V10.0产品维保续费,8625.00,上海,MIXED,2025-10-02T03:14:20Z
7054b93ebc5ebcf6db918d26ceaeae81,JHSOFW20241120-0910411,爱数,张菁菁,AnyBackup Enterprise 7 银牌支持服务*1,20556.00,潍坊,MIXED,2025-10-02T03:14:20Z
7197eae8d14b1ecc00602a3500c7079b,JM008DBZQSHFQ,绿盟,翟英俊,绿盟NF防火墙系统 V6.0（NFNX3-HDB1780）,22000.00,青岛,MIXED,2025-10-02T03:14:20Z
4ad6a96662a1c91e8c861214940dcc78,JM012WJSDZDYY,绿盟,张菁菁,"绿盟数据库审计系统 V5.6（DASNX3-E800C）*1, 绿盟日志审计系统V2.0 （LASNX3-HD1000）*1",76100.00,济南,MIXED,2025-10-02T03:14:20Z
19a94c9081a3c339fea90d976838f79d,JM015LJ199MTHBBL,绿盟,张菁菁,"绿盟日志审计系统V2.0（LASNX3-HH1000）*1, 绿盟安全审计系统V5.6（SASNX3-HFA）*1, 绿盟网络安全漏洞扫描系统-主机版软件（RSASNX3-HFA）*1, 绿盟网络入侵检测系统V5.6（NIDSNX3-HD2500D）*1, 绿盟数据库审计系统 V5.6（DASNX5-HF）*1, 绿盟WEB应用防护系统 V6.0（WAFNX3-HHA）*1, 绿盟终端安全系统（ESSNX1-SN）*1",462240.00,济南,MIXED,2025-10-02T03:14:20Z
f2f5f571542a9c68d5f682a61f1d4b79,JM016HJ91428BD,绿盟,翟英俊,绿盟NF防火墙系统 V6.0（NFNX3-HDB1780）*1,22000.00,青岛,MIXED,2025-10-02T03:14:20Z
0e2dd575ac47ddb3c4701a735288156e,JM202HJQTXY,绿盟,纪壮,绿盟远程安全评估系统 V6.0（RSASNX3-HFA-ZF.E.220805）*1,90000.00,青岛,MIXED,2025-10-02T03:14:20Z
a26d1efd8226648701e1aa2ca99fb0e8,山东鲁泽信息技术有限公司,火绒,王红波,"Windows（29）, MAC（1）",3155.00,济南,MIXED,2025-10-02T03:14:20Z
ffc995008cf659d8235e4dc43d50b398,潍坊中远重工科技有限公司,IPG,朱昊,3模块 10用户+加密+维保,11489.00,潍坊,MIXED,2025-10-02T03:14:20Z
0e9049249015233d91d1442f55a40ada,万祥矿业,威努特,张观平,工业互联防火墙（TEG5550）*1,61000.00,济南,MIXED,2025-10-02T03:14:20Z
bb169834314eae745afdc3ec940965b2,万通海欣控股股份有限公司,深信服,王文平,"AF-1000-D40, AF-1000-C600, VPN-1000-B400, EDR",106400.00,东营,MIXED,2025-10-02T03:14:20Z
d47f729b8a90adadbd1adad8e075d268,三一重工,艾比森,王红波,KL2模组（4）,1440.00,沈阳,MIXED,2025-10-02T03:14:20Z
6d9b4a107ebd0a853335522c466b1dbc,上星国际货运代理有限公司,绿盟,张菁菁,"升级授权（UDL-APP-01）*3, 升级授权（UDL-CAV-01）*3, 升级授权（UDL-IPS-01）*3, 升级授权（UDL-URL-NTI-01）*3, 续保白银服务包（NSPS-PAC-SIL-NFBC-1080-02）",4041.00,烟台,MIXED,2025-10-02T03:14:20Z
d0497980259e09d36baa515d780411d5,上海中绿新能源科技有限公司,IPG,满孝通,"6模块 10用户+加密, 6模块 20用户+加密",,上海,MIXED,2025-10-02T03:14:20Z
c343636d08b78a8409bb0d82710c0002,上海庙一号煤矿,威努特,张观平,"工业互联防火墙（TEG5550）*1, 工控主机卫士（IEG2110）*12, 统一安全管理平台（USM6102）*1, 技术服务",112500.00,江苏,MIXED,2025-10-02T03:14:20Z
48d5e8300341e7c9b13302d122ae3442,上海德朗星云科技股份有限公司山东分公司,"深信服, 华三",董雪,"AF-2000-B2130-SZ（质保五年）, LS-6520X-54QC-EI（华三交换机含双电源双风, 扇）",,济南,MIXED,2025-10-02T03:14:20Z
8d12d138883bba1c0b9af770ea2d7a50,上海概伦电子股份有限公司,IPG,"张菁菁, 王红波, 满孝通","7模块 250用户, 续保, 维保, 7模块 160用户, 7模块 80用户+维保",,济南,MIXED,2025-10-02T03:14:20Z
2be0bb797ac790ffcbf6a1d376c4b2e6,上海营养大地电子商务有限公司,IPG,"张菁菁, 满孝通","7模块 60用户, 7模块 5用户, 6模块 10用户, 6模块 15用户, 维保",,"济南, 上海",MIXED,2025-10-02T03:14:20Z
348fbe876a7a00913fbcf9ce06a67f84,东岳氟硅科技集团有限公司,IPG,满孝通,10模块 1000用户,145000.00,淄博,MIXED,2025-10-02T03:14:20Z
4ba62d85a04b42c9b6530baa6c80fb7f,东平区林业局,艾比森,张菁菁,"显示屏（CPK1.5）*11.34m², 显示屏配件（CPK1.5模组）*3张, 接收卡（核心卡 A5s Plus）*2张, 电源（电源 AYS220Y-042C 200V to 240V 4.2V 45A, A.1）*1个",180000.00,泰安,MIXED,2025-10-02T03:14:20Z
5adfe1f69ab57fbe9775bb9e8a502a96,东方旭能（山东）科技发展有限公司,绿盟,于俊伟,"绿盟网络入侵防护系统 V5.6（NIPSNX3-HDB1202）*1, 绿盟日志审计系统V2.0（LASNX3-HDB214）*1",50000.00,烟台,MIXED,2025-10-02T03:14:20Z
59976c2d4bd224810f2f543510d533c0,东方电子股份有限公司,绿盟,于俊伟,绿盟远程安全评估系统 V6.0（RSASNX3-S）*1,81000.00,烟台,MIXED,2025-10-02T03:14:20Z
5b0edf285641942dbb7a32470acb5e61,东方电子集团有限公司,绿盟,于俊伟,功能模块（RSASNX3-S-VF-API）*1,4800.00,烟台,MIXED,2025-10-02T03:14:20Z
de2e33a5dba0b543aa37d55451434a6a,东明石化集团山东润泽化工有限公司,威努特,张观平,工控主机卫士（IEG2210）,31800.00,菏泽,MIXED,2025-10-02T03:14:20Z
d2ee4cb04c8a3355d1991a10f0098c0a,东晓生物科技股份有限公司,IPG,朱昊,"4模块 365用户+加密, 4模块 150用户+加密",,潍坊,MIXED,2025-10-02T03:14:20Z
6a6cdaa904df1b6259baa360524059bb,东瑞易达科技（山东）有限公司,"华为, 信创",张菁菁,"华为存储（OceanStor 5210）*1, 华为交换机（S5735-L24T4S-A1）*1, 华为路由器（AR6140E-S）*1, 鲲泰服务器（KUNTAI A722服, 务器）*1, 务器）*2",,青岛,MIXED,2025-10-02T03:14:20Z
cfe44d1b5bdf4ab748e20220bcf0c760,东营华润燃气有限公司,深信服,王文平,AF-1000-B1120,17200.00,东营,MIXED,2025-10-02T03:14:20Z
6382c8d34183eb74c8c922ed7b1bb807,东营华联石油化工厂有限公司,IPG,梁春阳,3模块 30用户+加密,24000.00,东营,MIXED,2025-10-02T03:14:20Z
f72a36d6ec44d476b5af6849023352f5,东营市专用通讯局,深信服,东营,aServer-P-1000,110000.00,东营,MIXED,2025-10-02T03:14:20Z
23c1234c4aed423b606d2d6d1b018afd,东营市东营区审计局,深信服,王文平,aServer-P-2200,162000.00,东营,MIXED,2025-10-02T03:14:20Z
c1c01202a53bda3f7ad0ef7a6cfd2ba4,东营市公安局,深信服,东营,AC-1000-B1120,12300.00,东营,MIXED,2025-10-02T03:14:20Z
4cfed87ea6a07bb292cf63c013fd8929,东营市大数据局,深信服,东营,"EDR, LAS-1000-E600",380000.00,东营,MIXED,2025-10-02T03:14:20Z
b50fdaf4b6ff5d053613d278f8417233,东营市审计局,深信服,王文平,AC-1000-B1400-1K,57000.00,东营,MIXED,2025-10-02T03:14:20Z
f58ef7d7d02665d333e9db0362b248fe,东营市政府办公室,深信服,东营,"STA-100-B420, STA-100-B440, SIP-1000-C402",382515.00,东营,MIXED,2025-10-02T03:14:20Z
3531c07244e11f2f73f93f4782f96937,东营市气象局,深信服,王文平,AF-1000-C600,44000.00,东营,MIXED,2025-10-02T03:14:20Z
b0aeda407262ae5833691584993882a3,东营市河口蓝色经济产业园投资发展有限公司,火绒,王红波,Windows版（50）,7250.00,东营,MIXED,2025-10-02T03:14:20Z
8343c2f8ae550f9885d30d606c8c91be,东营市瑞丰石油技术发展有限责任公司,IPG,"时嘉, 王红波, 朱昊","5模块 35用户, 5模块 15用户, 10模块 15用户+加密+维保",,"东营, 青岛",MIXED,2025-10-02T03:14:20Z
5e50aa3dc095853901a1a18063116fe3,东营市胜利一中,深信服,王文平,"SD-SSL SD-EDR, OSM-1000-V50, LAS-1000-V50, BVT-1000-V50, SdSec-1000-H440M, WAF-2000-B2100",236000.00,东营,MIXED,2025-10-02T03:14:20Z
0cdf6efb9c5ffbb54a92d454c492f594,东营市自然资源和规划局,深信服,王文平,"VDS-P-G530, aDesk-STD-100H-s, aDesk-STD-200H-s, VDI授权与配件(aDesk)",260210.00,东营,MIXED,2025-10-02T03:14:20Z
feba085a7c886506938cdeefa4578dcb,东营御景置业有限公司,深信服,东营,VPN-1000-B1120D,81000.00,东营,MIXED,2025-10-02T03:14:20Z
a4e26dfcb338547b06bc3ae15ca17993,东营海科集团,深信服,王文平,"aDesk-STD-100-s, VDS-B2950, VDI授权与配件(aDesk), aRS6300-24X-LI-15X",350000.00,东营,MIXED,2025-10-02T03:14:20Z
c1fcd2d7f5eeac274032201f99ae5ae5,东营港开发区管委会,深信服,王文平,AC-1650 续保,49000.00,东营,MIXED,2025-10-02T03:14:20Z
43931ac31c81ac9ba98f10e5a8d8f3d7,东营综合保税局,深信服,东营,AF-1000-E620,50000.00,东营,MIXED,2025-10-02T03:14:20Z
de82ff0c96e5fb08b0d4ecce0c541fed,东营齐润化工有限公司,爱数,"纪壮, 梁春阳","AnyBackupExpress 7 银牌支持服务, 爱数AnyShare, Family 7硬件一体机（AnyShare AS9000一体机）*1, 技术服务*1",,东营,MIXED,2025-10-02T03:14:20Z
6fd0c5112eba8d68fbfe1c7252ba8092,东阿县人民政府办公室,天融信,董雪,天融信安全扩展模块系统V3（TopSEC-CARD-8S-NE）*1,5000.00,聊城,MIXED,2025-10-02T03:14:20Z
d69d884b4d5c3ff87a2db3452f1f05b3,个人,艾比森,张菁菁,GS5（23.96m²）,132139.00,,MIXED,2025-10-02T03:14:20Z
5767ca65822175e907640a2a2ad680fd,中共济南市委机要保密局,绿盟,张菁菁,"绿盟NF防火墙系统 V6.0（NFNX3-HFG）*1, 绿盟网络入侵防护系统 V5.6（NIPSNX3-HFF）*1",79188.00,济南,MIXED,2025-10-02T03:14:20Z
b9f5c363a7ac2a814da0059a9b6763c1,中共济南市委网络安全和信息化委员会办公室,绿盟,"董雪, 张菁菁","绿盟网络入侵防护系统V5.6（NIPSNX3-HFF）*2, 绿盟日志审计系统V2.0（LASNX3-HFA）*1, 绿盟运维安全管理系统（OSMSNX3-HFC）*1, 绿盟数据库审计系统V5.6（DASNX5-HFA）*1, 绿盟WEB应用防护系统 V6.0（WAFNX5-HFA-BM）*1",,济南,MIXED,2025-10-02T03:14:20Z
0759cbd05e5f24dcb1d5a6ad441a2328,中冶宝钢技术服务有限公司,绿盟,翟英俊,绿盟NF防火墙系统 V6.0（NFNX3-HDB1080）*1,12000.00,青岛,MIXED,2025-10-02T03:14:20Z
fc7ca249cb9c58ce88d291ce2a8c9734,中化弘润石油化工有限公司,威努特,"张观平, 张菁菁","统一安全管理平台（USM6000）, 工业防火墙（TEG5010）, 技术服务, 威努特工业防火墙（TEG5606）*2, 威努特统一安全管理平台（USM6000B）*1",,"青岛, 杭州",MIXED,2025-10-02T03:14:20Z
6622c09d8d435c5da1b4d7d9d9e1f6ac,中华人民共和国烟台海事局,绿盟,张菁菁,"绿盟网络入侵防护系统 V5.6（NIPSNX3-HD4200-GP）*1, 绿盟NF防火墙系统 V6.0（NFNX3-HDB1480）*1",,烟台,MIXED,2025-10-02T03:14:20Z
72d4a904f794dd2e6cc0528a371a6c58,中华人民共和国青岛海事局,火绒,么昌悦,Windows（10）,1300.00,青岛,MIXED,2025-10-02T03:14:20Z
8129769130fbd9668220b8652a0db0dd,中国中铁四局,泰维,翟英俊,P10单红（5.5296*2）,27329.00,青岛,MIXED,2025-10-02T03:14:20Z
